META DATA;DI;EXPLANATION
an3+an1...50;55B;Global Unique Returnable Packaging Item (RPI) as defined in ISO 17364, assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the RPI serial number that is unique within the CIN holder's domain.
;C;Continuation of an Item Code (Category 16) assigned by Customer that is too long for a required field size.
;1C;Continuation of Traceability Code (Category 20) assigned by Supplier.
;2C;Continuation of Serial Number (Category 19) assigned by Supplier.
;3C;Continuation of Free Text (Category 26) mutually defined between Supplier/Carrier/Customer.
;4C;Continuation of Transaction Reference (Category 11) mutually defined between Supplier/Carrier/Customer.
;5C;Continuation of Item Code (Category 16) Assigned by Supplier.
an1+n6;D;Format YYMMDD.
an2+n6;1D;Format DDMMYY.
an2+n6;2D;Format MMDDYY.
an2+n4;3D;Format YDDD (Julian).
an2+n5;4D;Format YYDDD (Julian).
an2+n6+an3;5D;ISO format YYMMDD, immediately followed by an ANSI X12.3 Data Element Number 374 Qualifier providing a code specifying type of date (e.g., ship date, manufacture date).
an2+n8+an3;6D;ISO format YYYYMMDD, immediately followed by an ANSI X12.3 Data Element Number 374 Qualifier providing a code specifying type of date (e.g., ship date, manufacture date).
an2+n4;7D;Format MMYY.
an2+n14...15;8D;Event, Date, And Time. ISO format YYYYMMDDHHMM (24 hour clock - UTC) immediately followed by a UN/EDIFACT Code Qualifier 2005 providing a code specifying type of date).
;9D;Date (structure and significance mutually defined).
an3+n4;10D;Format YYWW.
an3+n6;11D;Format YYYYWW.
an3+n8;12D;Format YYYYMMDD.
an3+n8;13D;Oldest and Newest Manufacturing Date in the format YYWWYYWW.
an3+n8;14D;Expiration Date (YYYYMMDD).
an3+n8;15D;Expiration Date (DDMMYYYY).
an3+n8;16D;Production Date (YYYYMMDD) -- Date of manufacture.
an3+n8;17D;Production Date (DDMMYYYY).
an3+n12;18D;Tag Activation Time. YYYYMMDDHHMM (24 hour clock - UTC).
an3+n12;19D;Tag Deactivation Time. YYYYMMDDHHMM (24 hour clock - UTC).
an3+n8;20D;Inspection Date (DDMMYYYY).
;21D;Required Delivery Date (DDD Julian) or DOD MILSTAMP Code.
an3+n12;22D;Record Time. YYYYMMDDHHMM (24 hour clock - UTC).
;23D;Date, represented in modified UTC compliant form: yyyy[mm[dd[hh[mm[ss[fff]]]]]][poooo] where square brackets indicate optionality and yyyy is the year, mmdd the month and day, hhmmss the time of day in hours minutes and seconds, fff the fractions of sections and poooo the offset from UTC expressed in hours and minutes, the offset being positive if p is a point (.), negative if P is a minus sign (-).
;24D;Qualified Date, comprising the concatenation of: A) an ISO/IEC 15459 issuing agency code. B) a date qualifier conforming to the specifications of that issuing agency. C) a date whose format and interpretation comply with the specifications of the issuing agency for that date qualifier.
an3+n8;25D;Best before date: (YYYYMMDD). Example: 25D20170202 = February 2, 2017
an3+n8;26D;First freeze date (YYYYMMDD). The first freeze date is defined as the date on which products are frozen directly after slaughtering, harvesting, catching or after initial processing. Example: 26D20170721 = July 21, 2017
an3+n8;27D;Harvest date (YYYYMMDD). The date when an animal was slaughtered or killed, a fish has been harvested, or a crop was harvested. Example: 27D20170615 = June 15, 2017
an3+n16;28D;Harvest date range (YYYYMMDDYYYYMMDD). The start date and end date range over which harvesting occurred.
an1+a2;E;Restricted Substances Classification -- "Environmental Classification Code" including Lead-Free (Pb-Free) finish categories defined in JESD97 (IPC JEDEC J-STD-609), and future industry or governmental agency assigned codes related to environmental regulatory compliance and hazardous material content.
;1E;Air Pressure -- (altitude) expressed in Pascal's as the standard international measure.
an2+n1...4;2E;Maximum Allowed Temperature. Maximum permitted temperature. Degrees Celsius, "-" (minus) encoded, if required.
an2+n1...4;3E;Minimum Allowed Temperature. Minimum permitted temperature. Degrees Celsius, "-" (minus) encoded, if required.
an2+n1...2;4E;Maximum Allowed Relative Humidity. Maximum permitted relative humidity, implied as percent.
an2+n1...2;5E;Minimum Allowed Relative Humidity. Maximum permitted relative humidity, expressed as percent.
an2+n1...4;6E;Refrigerator Container Temperature. For temperature-controlled cargo, target specified by shipper, Degrees Celsius, "-" (minus) encoded, if required.
;10E;Cumulative Time Temperature Index -- expressed as the number of measurements or counts.
;11E;Time Temperature Index -- Next Higher Assembly -- expressed as the number of measurements or counts.
an3+an9...15;12E;Declaration of Packaging Material Category*, Code* and Weight for a given packaging material used in a given packaging according to the EU packaging and packaging waste directive. (Material category and code defined in Annex M).
;F;Looping Header as defined as Section VI of this document.
;1F;My "parent" is . . . Unique identifier followed by a Data Identifier and associated data (for use with returnable packaging -- See Annex L). This Data Identifier must immediately follow the field (constructed of a Data Identifier, data and a group separator) with which it is associated.
;3F;I have ______ children . . . (for use with returnable packaging, e.g. 3F10, for ten children -- See Annex L). This Data Identifier must immediately follow the field (constructed of a Data Identifier, data and a group separator) with which it is associated.
;4F;Logical Assignment of a Page of Information within a group of pages that are spread across several data carriers, structured as a sequence of up to three (3) concatenated data elements, separated by a slash ( / ): Page number (required), followed by page count (optional, required for the last page), followed by an alphanumeric group ID (optional, if used then required for all pages and structured in accordance with ISO/IEC 15459-3 as a sequence of 3 data elements: Issuing Agency Code, followed by the Company Identification Number, followed by an alphanumeric code unique within the issuer's domain). Trailing slashes are optional.
;5F;I have ______ children and they are . . . (for use with returnable packaging -- See Annex L) This Data Identifier must immediately follow the field (constructed of a Data Identifier, data and a group separator) with which it is associated.
an1+an1...60;H;Name of Party. Name of a party followed by a plus (+) character followed by one or more code values from EDIFACT Code List 3035 "Party Qualifier". For examples see document.
;1H;Employee Identification Code assigned by employer.
an2+n9;2H;U.S. Social Security Number.
;3H;ID Number for Non-Employee (internally assigned or mutually defined) (e.g., contract workers, vendors, service, and delivery personnel).
;4H;National Social Security Number.
;5H;Last Name.
an2+an1...35;6H;Party Name (Line 2).
an2+n10...15;7H;Contact Phone. Country Code, Area Code, Exchange, number [XX YYY ZZZ ZZZZ].
an2+an3...35;8H;Contact Email.
an2+an10...12;9H;Consignee Number. The unique identifying number can be the IRS, EIN, SSN, or the CBP assigned number, as required on the Security Filing. Only the following formats shall be used: IRS EIN: NN-NNNNNNN, IRS EIN w/ suffix: NN-NNNNNNNXX, SSN: NNN-NN-NNNN, CBP assigned nbr: YYDDPP-NNNNN
;10H;Personal Identification Code (first initial, Last initial, last four of SSN).
;11H;First Name and Middle Initial.
an3+an2;12H;Military Grade (E1-E9, W1-W5, and O1-O10).
an3+an2+an1...an20;15H;A National Identification Number, National Identity Number, or National Insurance Number used as a means of identifying individuals within a country for the purposes of work, taxation, government benefits, health care, and other governmentally-related functions. This structure of the identifier is DI (15H) followed by the ISO 3166-1 Alpha2 Country Code followed by the predominant government assigned identification code for individuals.
;25H;Globally Unique Personal ID. assigned by a holder of a Company Identification Code (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as sequence of 3 concatenated data elements: IAC followed by CIN, followed by the ID unique within the holder's domain.
an3+an3...35+"+"+a1...3;26H;Globally Unique Personal ID, with a "Party Qualifier" code value from EDIFACT Code List 3035, assigned by a holder of a Company Identification Code (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 5 concatenated data elements: IAC followed by CIN, followed by an ID unique within the CIN holder's domain, followed by the Plus character (+) and a code value from EDIFACT Code List 3035 "Party Qualifier". For examples see document.
;I;Exclusive Assignment - Vehicle Identification Number (VIN) as defined in the U.S. under 49 CFR, §§ 565 and internationally by ISO 3779. (These are completely compatible data structures).
;2I;Abbreviated VIN Code.
;3I;Reserved -- Prior assignment.
;4I;Globally unique transport vehicle identifier (e.g., Trucks) consisting of the Vehicle Identification Number (VIN) as defined in the U.S. under 49 CFR §§ 565, and internationally by ISO 3779, followed by the "+" character, then followed by the government-issued Vehicle Registration License Plate Number in the form of "4I" "VIN" "+" "government-issued Vehicle Registration License Plate Number" (quotes and spaces shown for clarity only, they are not part of the data).
;5I;Unique production vehicle identifier that will be used during the vehicle production processes, consisting of the Body Tag Number (BTN, or any other descriptor used to identify the raw car body, or stated another way, the assemblage of parts that are used to start the vehicle's production), followed by the "+" character, then followed by the Production Order Number (PON), followed by the "+" character, and then followed by the Manufacturer-assigned Serial Number (SN).
an1+an1...35;J;Unique license plate number.
an2+an1...35;1J;Unique license plate number assigned to a transport unit which is the lowest level of packaging, the unbreakable unit.
an2+an1...35;2J;Unique license plate number assigned to a transport unit which contains multiple packages.
an2+an1...35;3J;Unique license plate number assigned to a transport unit which is the lowest level of packaging, the unbreakable unit and which has EDI data associated with the unit.
an2+an1...35;4J;Unique license plate number assigned to a transport unit which contains multiple packages and which is associated with EDI data.
an2+an1...20;5J;Unique license plate number assigned to a mixed transport unit containing unlike items on a single customer transaction and may or may not have associated EDI data.
an2+an1...20;6J;Unique license plate number assigned to a master transport unit containing like items on a single customer transaction and may or may not have associated EDI data.
;7J;Vehicle Registration License Plate Number (not unique without identification of country and issuing governmental region/authority)7.
an2+n9;8J;Maritime Mobile Service Identity (MMSI). A nine digit number regulated by the International Telecommunications Union to uniquely identify a ship or a coast radio station. Example: 8J211123456
;K;Order Number assigned by Customer to identify a Purchasing Transaction (e.g., purchase order number).
;1K;Order Number assigned by Supplier to identify a Purchasing Transaction.
;2K;Bill of Lading/Waybill/Shipment Identification Code assigned by Supplier/Shipper.
;3K;Bill of Lading/Waybill/Shipment Identification Code assigned by Carrier.
;4K;Line Number of the order assigned by Customer to identify a Purchasing Transaction. (See Annex C.9).
;5K;Reference Number assigned by the Customer to identify a Shipment Authorization (Release) against an established Purchase Order.
;6K;PRO# Assigned by Carrier.
;7K;Carrier Mode in Free Text format mutually defined between Customer and Supplier (e.g., Air, Truck, Boat, Rail).
;8K;Contract Number.
;9K;Generic Transaction Reference Code (internally assigned or mutually defined).
;10K;Invoice Number.
;11K;Packing List Number.
an3+an4+an1...25;12K;SCAC (Standard Carrier Alpha Code) (an4 - dash "-" filled left) and carrier assigned PROgressive number.
an3+an4+an1...12;13K;Bill of Lading Number /Transport Receipt Number. SCAC + Container cargo's B/L number or waybill number.
;14K;Combined Order Number and Line Number in the format nn...nn+nn...n where a plus (+) symbol is used as a delimiter between the Order Number and Line Number.
;15K;KANBAN Number.
;16K;DELINS Number: code assigned to identify a document which contains delivery information.
;17K;Check Number.
;18K;Structured Reference. (See Annex C.10).
;19K;Foreign Military Sales Case Number.
;20K;License Identifier, being a globally unique identifier for a license or contract under which items are generated, submitted for processing and/or paid for, that is constructed by concatenating. See documents
;21K;Customer Data, being data that: A) from a customer perspective, is related to or associated with an item or transaction, or to a batch or related items or transactions, and B) comprises up to 35 printable characters and/or spaces, other than plus (+), drawn from the character set defined in ISO/IEC 646.
;22K;Transaction Authentication Information, being a value, constructed by concatenating: A) an ISO/IEC 15459 issuing agency code. B) a value which accords with specifications of the issuing agency concerned, that allows verification of the authenticity of the transaction concerned and, in particular, that the transaction was initiated by the party, claimed within the transaction to have been its initiator, by: a) the recipient of a transaction, and/or b) one or more of the parties involved in its handling or processing, and/or c) a trusted third party.
;25K;Global Unique Identification of Groupings of Transport Units Assigned by the Carrier, defined as: Identification of a Party to a Transaction as defined assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the Bill of Lading or Waybill or Shipment Identification Code that is unique within the CIN holder's domain
;26K;Global Unique Identification of Groupings of Transport Units Assigned by the Shipper, defined as: Identification of a Party to a Transaction assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the Bill of Lading or Waybill or Shipment Identification Code that is unique within the CIN holder's domain
an3+an1...35;27K;Supplier Assigned Quotation Number -- Number assigned to a quotation by the sup
;L;Storage Location.
;1L;Location.
;2L;"Ship To:"Location Code defined by an industry standard or mutually defined.
;3L;"Ship From:"Location Code defined by an industry standard or mutually defined.
an2+a2;4L;Country of Origin, two-character ISO 3166 country code. With agreement of trading partners and when the Country of Origin is mixed, Country Code "AA" shall be used.
;5L;"Ship For:" Location Code defined by an industry standard or mutually defined.
;6L;Route Code assigned by the supplier to designate a specific transportation path.
an2+an6;7L;6-character Department of Defense Activity Code (DoDAAC).
;8L;Port of Embarkation -- Mutually Defined.
;9L;Port of Debarkation -- Mutually Defined.
an3+n5...27;11L;Location (Latitude/Longitude/Altitude) encoded in the format xnn.nnnnn/xnnn.nnnnnn/xnnnn9.
;12L;"Ship To:" Location (Latitude/Longitude/Altitude) encoded in the format xnn.nnnnn/xnnn.nnnnnn/xnnnn9.
;13L;"Ship From:" Location (Latitude/Longitude/Altitude) encoded in the format xnn.nnnnn/xnnn.nnnnnn/xnnnn9.
;15L;"Ship For:" Location (Latitude/Longitude/Altitude) encoded in the format xnn.nnnnn/xnnn.nnnnnn/xnnnn9.
an3+an1...60;16L;Tag Activation Location. English location name (character set: 0-9, A-Z <Space>).
an3+an1...60;17L;Tag Deactivation Location. English location name (character set: 0-9, A-Z <Space>).
an3+an2...12;18L;FAO fishing area code as defined by the Fisheries and Aquaculture Department of the FAO (http://www.fao.org. Search for Fishing Area Code sub-site). All characters of the GS1 General Specification-defined sub-set of ISO/IEC 646 are allowed. For examples see docs.
;20L;First Level (internally assigned).
;21L;Second Level (internally assigned).
;22L;Third Level (internally assigned.
;23L;Fourth Level (internally assigned).
;24L;Fifth Level (internally assigned).
an3+an1...35;25L;Identification of a Party to a Transaction, e.g., 25L IAC CIN LOC assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the physical internal location (LOC) that is unique within the CIN holder's domain.
;26L;Location Code, being a code identifying a location or geographic area, or an associated group of such locations or areas, that has relevance to a related transaction and that complies with one or the structures defined in the docs.
an3+an5+n1...3;27L;Event Location UN/LOCODE. UN/LOCODE followed by a plus (+) character followed by one or more code values from EDIFACT Code List 3227 "Location function code qualifier".
an3+an1...35;28L;Number and Street Address. Used in conjunction with H, 6H, 28L, 29L, 30L, 31L, 32L.
an3+an1...35;29L;City Name. Used in conjunction with H, 6H, 28L, 29L, 30L, 31L, 32L.
an3+an1...9;30L;Country Sub-entity Details. Used in conjunction with H, 6H, 28L, 29L, 30L, 31L, 32L.
an3+an4...11;31L;Postal Code. Used in conjunction with H, 6H, 28L, 29L, 30L, 31L, 32L (If a "-" dash is used, it shall be expressly encoded).
an3+a2;32L;Country Code. ISO 3166-1 Alpha 2 Code Used in conjunction with H, 6H, 28L, 29L, 30L, 31L, 32L.
;33L;Uniform Resource Locator (URL). Includes all characters that form a URL, including header data such as e.g., http://. Character set as listed in RFC 1738.
;34L;Pointer to Process URL (P2P URL) for initiating a URL to carry all other data elements encoded in an AIDC media according to the following rule: Scan the code and initiate the URL starting with the P2P URL string, omitting DI 34L and ISO/IEC 15434 envelope syntax (prefix and postfix) and append all other data elements that have been scanned in same sequence as encoded in the media, including DIs and data element separators. Convert special characters in the appended data into RFC 1738 format (e.g., Group Separator "GS" translated into RFC 1738 sequence %1D). Note that this does not apply to the P2P URL itself.
an3+a2+an3...27;35L;A government-assigned approval number of vessel / aquaculture site / farm / processor, starting with an ISO 3166-1 alpha-2 country code, followed by the approval number. All characters of the GS1 General Specification-defined sub-set of ISO/IEC 646 are allowed. Example: 35LIECK0107EC = Country, Ireland. Vessel Name: FV Endurance DA31.
an3+a2+an3...27;36L;A government-assigned approval number of producer or farm or first deboning / cutting hall, starting with an ISO 3166-1 alpha-2 country code, followed by the approval number. All characters of the GS1 General Specification-defined sub-set of ISO/IEC 646 are allowed. Example: 36LIECK0107EC = Country: Ireland. Vessel Name: FV Endurance DA31.
an3+an1...9;51L;"Ship From:" - Location code defined by a postal authority (e.g., 5-digit and 9-digit ZIP codes identifying U.S. locations or 6-character postal codes identifying Canadian locations).
an3+an1...9;52L;"Ship To:" - Location code defined by a postal authority (e.g., 5-digit and 9-digit ZIP codes identifying U.S. locations or 6-character postal codes identifying Canadian locations).
an3+an1...9;54L;"Ship From:" - Location code defined by a postal authority in the format: postal codes (e.g., 5-digit ZIP codes identifying U.S. locations or 6- or 7-character postal codes identifying United Kingdom locations) followed by two character ISO 3166 country code (e.g., US or GB).
an3+an1...9;55L;"Ship To:" - Location code defined by a postal authority in the format: postal codes (e.g., 5-digit ZIP codes identifying U.S. locations or 6- or 7-character postal codes identifying United Kingdom locations) followed by two character ISO 3166 country code (e.g., US or GB).
;10M;Army Form 2410 data. Format is data value preceded by the block number of the form 2410. Field lengths and acceptable characters can be found at http://www.apd.army.mil/pdffiles/p738_751.pdf.
;11M;Army Form 2408 data. Format is data value preceded by the block number of the form 2408. Field lengths and acceptable characters can be found at http://www.apd.army.mil/pdffiles/p738_751.pdf.
;12M;Army Form 2407 data. Format is data value preceded by the block number of the form 2407. Field lengths and acceptable characters can be found at http://www.apd.army.mil/pdffiles/p738_751.pdf.
;13M;Air Force Form 95 data. Format is data value preceded by the block number of the form 95. Field lengths and acceptable characters can be found at http://www.gsa.gov/portal/forms/download/116418.
;14M;Navy Form 4790 data. Format is data value preceded by the block number of the form 2410. Field lengths and acceptable characters can be found at http://www.navair.navy.mil/logistics/4790/library/Chapter%2015.pdf.
an1+an13...15;N;National/NATO Stock Number (NSN).
;1N;Product Characteristic Data defined by the Chemical Industry Data Exchange (CIDX).
;3N;Coding Structure in Accordance with Format Defined by Electronic Industries Association Japan (EIAJ).
;4N;Coding Structure and Formats in Accordance with GS1 Application Identifiers (AI plus data) (GS1).
;5N;Coding Structure and Formats in Accordance with AIAG Recommendations. The full Data Identifier is in the form 5Nxx where the "xx" is found in the full code list that can be found at http://www.mhi.org/standards - see under "MH10 Data Identifiers (Continuous Maintenance Version)".
;6N;U.S. DOD Requisition and Issue Procedure Codes. The format is the appropriate MILSTRIP code followed by the data value associated with that code. (The full list of codes is available at http://www2.dla.mil/j-6/dlmso/elibrary/Manuals/DLM/MILSTRIP/MILSTRIP.pdf.
;7N;U.S. Defense Transportation Regulation Codes. The format is the DTR code followed by the appropriate data value associated with that code. (The full list of codes is available at http://www.transcom.mil/dtr/part-ii/dtr_part_ii_toc.pdf.
;8N;Production Animal Identification Codes. The format is the production animal code followed by the appropriate data value associated with that code. The Technical Report and the full list of Extended Data Elements (codes) is maintained at http://www.aimglobal.org/store/view_product.asp?id=4926441 Extended Data Elements (Codes). http://www.aimglobal.org/store/view_product.asp?id=4926483 Technical Report.
an2+an5...22;9N;Pharmacy Product Number maintained by IFA (www.ifaffm.de) and structured as follows: Two-digit product registration agency code followed by the registered product number (assigned by product registration agencies) and two PPN check digits.
;12N;The Data construct is defined and controlled by the RLA, comprised of 2 segments: the field identifier (FI) code, immediately followed by the data as defined for that element according to the data dictionary of the RLA. It is essentially a catalog of fields with standardized content.
;P;Item Identification Code assigned by Customer.
;1P;Item Identification Code assigned by Supplier.
;2P;Code Assigned to Specify the Revision Level for an Item (e.g., engineering change level, edition, or revision).
an2+n13...14;3P;Combined Manufacturer Identification Code/Item Code Under the 12/13-digit GS1 Formats, plus supplemental codes, if any.
;4P;Item Code Portion of GS1 Formats.
;5P;Freight Classification Item Number Assigned by Carrier for Purposes of Rating Hazardous Materials (e.g., Motor Freight, Air, Boat, Rail Classification).
;6P;Combined Supplier Identification and Item Code (internally assigned or mutually defined).
;7P;Common Language Equipment Identification (CLEI) assigned by the manufacturer to some telecommunications equipment.
an2+n14;8P;14-digit GS1 format for GTIN-14 code structure.
;9P;Combined Manufacturer Identification Code (9-digit DUNS number assigned by Dun & Bradstreet) and the Item Code/Part Number (assigned by the manufacturer).
;10P;Hazardous Material Code as defined by ANSI X12.3 in the format Data Element 208 (1-character code qualifier) followed by Data Element 209 (Hazardous Material Code)
an3+an10;11P;10-character CLEI Code for telecommunications equipment.
;12P;Document Type (e.g., Pick List, Design Drawing, etc.) (internally assigned or mutually defined).
;13P;VMRS System Code.
;14P;VMRS System and Assembly Code.
;15P;VMRS System, Assembly, & Part Code.
;16P;VMRS System, Assembly, or Part Code. (User Modified).
;17P;Combined GS1 Supplier Identification and Item Code Assigned By The Supplier.
;18P;Combined VMRS supplier ID and Supplier Assigned Part Number.
;19P;Component of an Item. (One product contained in multiple packages).
;20P;First Level (Customer Assigned).
;21P;Second Level (Customer Assigned).
;22P;Third Level (Customer Assigned).
;23P;Fourth Level (Customer Assigned).
;24P;Fifth Level (Customer Assigned).
;25P;Identification of a Party to a Transaction Assigned by a Holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the supplier assigned part number that is unique within the CIN holder's domain.
;26P;Part Number of Next Higher Assembly.
an3+n7...12;27P;Commodity HTS-6 Code. Using the format: 4012.11 or 4012.11.4000 (Decimal point is expressly encoded) The Harmonized System (HS) Classification is a 6-digit standardized numerical method of classifying traded products. HS numbers are used by customs authorities around the world to identify products for the application of duties and taxes. Additional digits are added to the HS number by some governments to further distinguish products in certain categories. In the United States, numbers used to classify exported products are called "Schedule B" numbers. The U.S. Census Bureau administers the Schedule B system. Schedule B numbers, not HS numbers, must be provided on the Shippers' Export Declaration (SED). http://www.niccomp.com/rohs/files/NIC_HTS1006.pdf Import codes are administered by the U.S. International Trade Commission (USITC). http://hts.usitc.gov/
an3+an1...100;28P;Cargo Name. Plain language description (English).
